Vehicle ID,Best Match,Efficiency (Wh/km)
46,Lightning ZEV3,290.9 Wh/km
253,Spectre,220 Wh/km
72,eVito Tourer Extra-Long 90 kWh,295 Wh/km
55,Lightning ZEV3,290.9 Wh/km
42,EQV 300 Extra-Long,295 Wh/km
5,EQV 300 Long,295 Wh/km
7,EQV 300 Long,295 Wh/km
81,eVito Tourer Extra-Long 90 kWh,295 Wh/km
85,eVito Tourer Extra-Long 90 kWh,295 Wh/km
83,No matching electric vehicles found,
71,eVito Tourer Extra-Long 90 kWh,295 Wh/km
60,EQV 300 Extra-Long,295 Wh/km
43,EQV 300 Long,295 Wh/km
41,Lightning ZEV3,290.9 Wh/km
59,EQV 300 Extra-Long,295 Wh/km
51,Lightning ZEV3,290.9 Wh/km
84,No matching electric vehicles found,
